課程名稱,授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
活出快樂：科學實證與演練,戴可馨,109-1,81.03%,18.97%,,,,,,,,
科技倫理,劉啟民,110-2,,,,,,,66.67%,33.33%,,
科學在文化中的定位和挑戰,江才健,107-1,,,,65%,26.11%,8.89%,,,,
科學哲學,王榮麟,107-1,,,,,,,,,77.36%,22.64%
美國憲法專題,黃昭元,107-2,,,,90.91%,6.06%,3.03%,,,,
英文(含聽講實習)一,史嘉琳(01),109-1,52.63%,47.37%,,,,,,,,
英文(附一小時)英聽一,蔡自青(19),110-1,6.90%,55.17%,37.93%,,,,,,,
英文(附一小時英聽)一,廖勇超,109-1,44.44%,55.56%,,,,,,,,
英文(附一小時英聽)一,廖勇超,108-1,33.33%,22.22%,44.44%,,,,,,,
英文(附一小時英聽)一,陶漢威,107-1,71.88%,,,,,,,,,
英文(附一小時英聽)一,施純宜,107-1,12.50%,87.50%,,,,,,,,
英文(附一小時英聽)一,陳逸軒,109-1,27.03%,72.97%,,,,,,,,
英文(附一小時英聽)一,簡瑞碧(25),110-1,24.32%,67.57%,,,,,,,,
英文(附一小時英聽)二,廖勇超,109-2,42.86%,57.14%,,,,,,,,
英文(附一小時英聽)二,廖勇超,108-2,33.33%,66.67%,,,,,,,,
英文(附一小時英聽)二,陶漢威,108-2,42.50%,,,,,,,,,
英文(附一小時英聽)二,施純宜,107-2,7.14%,92.86%,,,,,,,,
英文(附一小時英聽)二,簡瑞碧(25),110-2,30.77%,53.85%,15.38%,,,,,,,
英文(附二小時英聽)一,王珊珊,109-1,50%,50%,,,,,,,,
英文(附二小時英聽)二,張嘉倩,109-2,22.22%,77.78%,,,,,,,,
英文一,王啟安,109-1,54.43%,,,,,,,,,
英文一,劉雅詩,109-1,,50%,25%,25%,,,,,,
英文一,朱偉誠,109-1,,,,,,,85.71%,8.57%,5.71%,
英文二,李書雨,107-2,11.11%,33.33%,55.56%,,,,,,,
英文二,王啟安,109-2,40.00%,34.29%,,,,,,,,
英文二,許以心,109-2,46.67%,33.33%,,,,,,,,
英文二,朱偉誠,109-2,,,,,,,,84.62%,7.69%,7.69%
英文寫作基礎,陳翊齊 ,110-1,8.70%,91.30%,,,,,,,,
英美法學名著選讀一,陳韻如 ,108-1,35.71%,64.29%,,,,,,,,
英語演說與溝通技巧,柯凱彣,109-2,17.95%,66.67%,15.38%,,,,,,,
計量地理學及實習,溫在弘,107-1,42.22%,6.67%,51.11%,,,,,,,
計量經濟理論一,謝志昇,110-1,13.11%,26.23%,60.66%,,,,,,,
計量經濟學,江淳芳,110-1,15.69%,27.45%,56.86%,,,,,,,
計量經濟學導論暨實習,駱明慶,108-2,,40.57%,13.21%,46.23%,,,,,,
計量經濟學導論暨實習,駱明慶,109-2,,31.93%,15.13%,52.94%,,,,,,
計量經濟學導論暨實習,張勝凱 (02),108-2,,,37.14%,17.14%,45.71%,,,,,
計量導論,王衍智,107-2,,48.08%,10.58%,41.35%,,,,,,
計算機容錯,郭斯彥,108-1,57.14%,42.86%,,,,,,,,
計算機程式設計,劉邦鋒,107-1,59.29%,40.71%,,,,,,,,
計算機程式設計,劉邦鋒(02),110-1,37.50%,62.50%,,,,,,,,
計算機程式設計,劉邦鋒(01),110-1,30%,,,,,,,,,
計算機程式語言,林達德,107-1,27.14%,21.43%,,,,,,,,
計算機結構,洪士灝,109-1,22.02%,20.18%,57.80%,,,,,,,
計算機概論,莊永裕,107-1,26.32%,25.00%,48.68%,,,,,,,
計算機概論,莊永裕,109-1,33.73%,66.27%,,,,,,,,
計算機概論,徐宏民,109-1,35.90%,,,,,,,,,
計算機網路,逄愛君,109-1,45.35%,54.65%,,,,,,,,
計算機網路,周承復,110-1,49.45%,50.55%,,,,,,,,
計算機網路實驗,逄愛君,109-2,43.48%,56.52%,,,,,,,,
重力、S矩陣和弦論,黃宇廷,108-2,40%,20%,40%,,,,,,,
音樂、演化與大腦,蔡振家,110-1,74.17%,25.83%,,,,,,,,
音樂、演化與大腦,蔡振家,109-1,61.90%,38.10%,,,,,,,,
音樂與身心靈,王育雯,109-2,22.22%,77.78%,,,,,,,,
音樂學理論與方法一,陳人彥,109-1,10%,90%,,,,,,,,
音樂學理論與方法二,王育雯,109-2,30%,70%,,,,,,,,
風險管理與保險,林姿婷,108-1,,,,,,54.70%,4.27%,41.03%,,
食用昆蟲學,薛馬坦,109-2,40.28%,59.72%,,,,,,,,
食品分析,賴喜美 ,108-1,,,,,,64.81%,5.56%,29.63%,,
食品分析實驗,賴喜美 (02),108-1,21.05%,47.37%,31.58%,,,,,,,
食品化學,呂廷璋 ,109-1,3.70%,11.11%,85.19%,,,,,,,
食品加工實驗,丁俞文 ,108-1,0%,81.82%,18.18%,,,,,,,
食品加工學,吳瑞碧 ,108-1,,46.43%,21.43%,32.14%,,,,,,
食品安全衛生管理法規,鄭維智 ,108-2,54%,46%,,,,,,,,
食品添加物,許庭禎 ,109-2,21.21%,78.79%,,,,,,,,
食品微生物實驗,魏嘉徵 ,109-2,,100%,,,,,,,,
食品微生物學,鄭光成 ,109-1,,,17.65%,8.82%,73.53%,,,,,
食品與健康,沈立言,107-1,11.97%,20.09%,67.95%,,,,,,,
食品與健康,沈立言,109-1,21.77%,78.23%,,,,,,,,
食品與健康,沈立言,110-1,46.03%,53.97%,,,,,,,,
食品營養概論,林甫容,108-1,31.62%,68.38%,,,,,,,,
食品營養概論,黃青真,107-1,,,59.26%,10.37%,30.37%,,,,,
個體經濟理論一,吳亨德,110-1,3.08%,96.92%,,,,,,,,
個體經濟學,張清溪,108-1,29.03%,20.97%,50%,,,,,,,
個體經濟學,劉憶如,107-1,36.21%,63.79%,,,,,,,,
個體經濟學上,黃貞穎,107-1,,,,,,,,87.63%,9.28%,3.09%
個體經濟學上,狄萊,107-1,,,44.90%,13.27%,41.84%,,,,,
個體經濟學上,黃貞穎,109-1,35.71%,64.29%,,,,,,,,
個體經濟學上,黃貞穎,110-1,17.65%,19.61%,62.75%,,,,,,,
個體經濟學上,陳俊廷 (04),107-1,,,30.56%,8.33%,61.11%,,,,,
個體經濟學下,黃貞穎,108-2,36.38%,63.72%,,,,,,,,
個體經濟學下,狄萊,107-2,14.42%,85.58%,,,,,,,,
個體經濟學下,黃貞穎,109-2,23.66%,17.20%,10.75%,48.39%,,,,,,
個體經濟學下,陳俊廷 (04),107-2,,,,59.26%,18.52%,22.22%,,,,
個體經濟學甲上,吳珮瑛,108-1,19.35%,80.65%,,,,,,,,
個體經濟學甲下,陸怡蕙,108-2,24%,76%,,,,,,,,
個體經濟學原理,李顯峰,109-1,5.65%,10.60%,83.75%,,,,,,,
個體經濟學原理與實習,吳聰敏,109-1,15.82%,84.18%,,,,,,,,
個體經濟學原理與實習,江淳芳 ,109-1,15.84%,23.76%,,,,,,,,
個體經濟學原理與實習,江淳芳,110-1,14.86%,22.97%,,,,,,,,
個體經濟學原理與實習,吳聰敏,110-1,21.09%,78.91%,,,,,,,,
個體經濟學原理與實習,林明仁(02),110-1,12.06%,,,,,,,,,
剖析愛情,陳永儀,108-1,72.00%,28.00%,,,,,,,,
原住民族與社會工作,李美儀,110-1,,,,,,91.67%,8.33%,0%,,
哲學概論,周先捷（02）,109-2,31.33%,68.67%,,,,,,,,
家事事件法,沈冠伶,109-2,21.16%,30.29%,48.56%,,,,,,,
家禽學,林原佑,109-1,10.71%,14.29%,,,10.71%,39.39%,,,,
家禽學,魏恒巍,108-2,,25.71%,14.29%,60%,,,,,,
家禽學實習,魏恒巍,108-2,35.29%,11.77%,26.47%,26.47%,,,,,,
家禽學實習,林原佑,109-1,29.41%,17.65%,52.94%,,,,,,,
書報討論(一),林盈仲,108-1,,83.33%,16.67%,,,,,,,
書報討論(二),閔銘源,109-2,18.75%,56.25%,25.00%,,,,,,,
核天文物理介紹,王子方,108-1,50%,50%,,,,,,,,
框架外的思考:五分鐘英文講台,李維晏,108-1,13.89%,41.67%,,,,,,,,
框架外的思考:五分鐘英文講台,李維晏 (03),106-2,33.33%,66.67%,,,,,,,,
桌球中級,王翊澤,108-2,76%,24%,,,,,,,,
桌球初級,王翊澤,108-2,100%,,,,,,,,,
桌球初級,王翊澤,107-2,74.07%,25.93%,,,,,,,,
桌球初級,林信甫,110-1,,,,,90.48%,7.14%,2.38%,,,
桌球初級,陳逸杰 (C8),108-2,91.38%,8.62%,,,,,,,,
桌球初級,王翊澤,109-2,88.71%,11.29%,,,,,,,,
氣相層析質譜分析方法,周繼中,109-2,27.27%,72.73%,,,,,,,,
氣候學及實習,莊振義,108-2,16.67%,83.33%,,,,,,,,
氣候變遷導論,任昊佳,110-1,,,80%,20%,0%,,,,,
氣候變遷衝擊與因應,楊之遠,108-1,27.08%,52.08%,20.83%,,,,,,,
泰文一上,張君松 ,110-1,82.35%,,,,,,,,,
海洋法專題研究一,姜皇池 ,107-1,33.33%,66.67%,,,,,,,,
海洋法專題研究二,姜皇池,108-1,0%,33.33%,66.67%,,,,,,,
海洋科學概論,楊穎堅,107-2,59.11%,40.89%,,,,,,,,
海洋科學概論,楊穎堅,108-2,39.90%,60.10%,,,,,,,,
海洋科學概論,楊穎堅,108-1,35.41%,13.40%,51.20%,,,,,,,
海洋科學概論,楊穎堅,108-2,39.90%,60.10%,,,,,,,,
海洋科學概論,楊穎堅,110-2,,65.15%,13.13%,21.72%,,,,,,
海洋與社會,徐銘謙,107-1,,,,,51.35%,8.11%,40.54%,,,
海商法,蔡英欣,108-2,,59.60%,25.25%,15.15%,,,,,,
海商法,蔡英欣,109-2,25%,40%,35%,,,,,,,
消費經濟論,何率慈,109-1,30%,70%,,,,,,,,
畜牧學甲,魏矬,108-2,,,51.06%,12.77%,36.17%,,,,,
真菌學,歐海仁,109-1,10.42%,89.58%,,,,,,,,
真菌學實驗,歐海仁,109-1,,43.24%,24.32%,32.43%,,,,,,
神經生物學(一),潘建源,107-1,,,59.46%,5.41%,35.14%,,,,,
茶作學,邱垂豐,107-2,45.10%,54.90%,,,,,,,,
茶與茶業,陳右人,109-2,44.41%,55.59%,,,,,,,,
茶與茶業,陳右人,108-2,32.78%,67.22%,,,,,,,,
茶與茶業,陳右人 ,107-2,58.50%,41.50%,,,,,,,,
財政學,宋玉生,107-1,19.48%,80.52%,,,,,,,,
財政學,梁卓誠,108-1,17.39%,82.61%,,,,,,,,
財政學專題,宋玉生,108-2,23.08%,9.62%,67.31%,,,,,,,
財務報告分析,陳明賢,108-2,79.59%,20.41%,,,,,,,,
財務管理,莊文議,109-2,,80.60%,10.45%,8.96%,,,,,,
財務管理,邱顯比,108-1,,,,,,83.08%,3.08%,13.85%,,
財務管理,邱顯比,110-1,20.37%,,,,,,,,,
財務管理,莊文議,109-2,58.21%,41.79%,,,,,,,,
高級園產品加工學,許 輔 (02),110-1,,100%,,,,,,,,
高等生物統計法一,蔡政安,108-1,44.44%,55.56%,,,,,,,,
高等生物統計法二,蔡政安,108-2,37.50%,28.12%,34.38%,,,,,,,
高等統計推論一 ,楊鈞浩,110-1,0%,41.67%,58.33%,,,,,,,
高等統計學一,黃芳玫,109-1,,57.14%,19.05%,23.81%,,,,,,
高等統計學一,蔣明晃,109-1,,52.87%,28.74%,18.39%,,,,,,
高等統計學二,黃芳玫,109-2,,,,76.92%,15.38%,7.69%,,,,
高爾夫初級,簡坤鐘,107-2,36.17%,48.94%,14.89%,,,,,,,
高爾夫初級,麥吉誠,109-2,,,25%,,,,,,,
健康體適能,莊國禎,109-1,,,,55.93%,13.56%,30.51%,,,,
健康體適能,麥吉誠,107-1,29.73%,40.54%,29.73%,,,,,,,
健康體適能,趙曉涵,110-1,88.89%,11.11%,,,,,,,,
健康體適能,林聯喜,108-1,,50%,27.42%,22.58%,,,,,,
健康體適能,曾郁嫻,107-1,6.52%,,,,,,,,,
健康體適能,金敏玲,107-1,66.67%,33.33%,,,,,,,,
健康體適能,洪巧菱（A6）,109-1,100%,,,,,,,,,
健康體適能,吳忠誼,109-1,28.26%,71.74%,,,,,,,,
健康體適能,李永祥(G4),109-1,82.76%,17.24%,,,,,,,,
健康體適能,莊泰源(62),109-1,35.90%,,,,,,,,,
健康體適能,曾郁嫻 ,109-1,20.41%,46.94%,,,,,,,,
健康體適能,簡坤鐘,109-1,41.86%,,,,,,,,,
健康體適能,王學富 (14),106-1,38.78%,61.22%,,,,,,,,
健康體適能,莊國禎,109-1,,50%,38.89%,11.11%,,,,,,
健康體適能,簡坤鐘,107-1,40%,60%,,,,,,,,
健康體適能,趙曉涵(A1),110-1,67.31%,32.69%,,,,,,,,
健康體適能,王翊澤(J1),110-1,94.23%,,,,,,,,,
動物生理學,陳瑞芬,107-1,,,,50.00%,7.50%,42.50%,,,,
動物生產自動化,蘇忠楨,108-2,100%,,,,,,,,,
動物生殖學,吳兩新,107-1,21.88%,15.62%,15.62%,9.38%,21.88%,15.62%,,,,
動物行為與福祉,徐濟泰,109-1,75%,25%,,,,,,,,
動物育種學,林恩仲,107-2,18.75%,15.62%,65.62%,,,,,,,
動物產品加工廠規劃及管理,何中平,109-1,29.41%,70.59%,,,,,,,,
動物細胞生物學,鍾德憲,107-1,11.43%,17.14%,11.43%,,,,,,20%,8.57%
動物細胞培養及保存,朱有田,107-2,75%,25%,,,,,,,,
動物資源經營學,蘇忠楨,108-1,35.71%,64.29%,,,,,,,,
動物資源經營學,蘇忠楨,109-2,61.54%,38.46%,,,,,,,,
動物福利科學,楊瑋誠,110-1,0%,80.95%,19.05%,,,,,,,
動物與法律,林明鏘,107-1,,36.49%,27.03%,36.49%,,,,,,
動物衛生學,鍾德憲,108-1,33.33%,16.67%,10%,40%,,,,,,
動物營養學,林美峰,108-1,,10.53%,15.79%,73.68%,,,,,,
動物營養學實習,林美峰,108-1,22.58%,22.58%,54.84%,,,,,,,
動物環境生理學,吳兩新,109-1,60%,40%,,,,,,,,
動物議題討論,陳明汝,109-2,3.33%,36.67%,36.67%,23.33%,,,,,,
區域地理,簡旭伸,109-2,16.39%,21.31%,62.30%,,,,,,,
商事法,林麗真,108-2,25.90%,28.06%,46.04%,,,,,,,
商事法,陳俊元,109-2,36.31%,63.69%,,,,,,,,
商事法總論及公司法,楊岳平,109-2,,,72.41%,14.48%,13.10%,,,,,
商事法總論及公司法,曾宛如,110-1,23.65%,76.35%,,,,,,,,
商法專題研究一,王文宇 ,107-1,10.81%,67.57%,21.62%,,,,,,,
商管程式設計,孔令傑(02),109-1,49.15%,29.77%,31.07%,,,,,,,
商管程式設計,孔令傑(01),109-1,43.45%,,,,,,,,,
商標法,黃銘傑,108-2,,,,,84.11%,2.80%,13.08%,,,
國術校隊,游添燈,109-1,83.33%,16.67%,,,,,,,,
國語流行歌曲研究:1930-1970,沈冬,109-2,27.27%,72.73%,,,,,,,,
國際公法,黃昭元,108-1,,22.89%,21.89%,55.22%,,,,,,
國際公法一,蔡季廷,110-1,,30.72%,13.25%,56.02%,,,,,,
國際企業導論,吳政衛,109-2,14.89%,36.17%,,,,,,,,
國際私法,邵慶平,109-1,,,60.32%,19.05%,20.63%,,,,,
國際法專題討論二,姜皇池 ,107-2,50%,50%,,,,,,,,
國際海洋法一,姜皇池,107-1,,,,,,,,84.21%,10.53%,5.26%
國際關係一,廖小娟,109-1,62.50%,37.50%,,,,,,,,
國際關係一,郭銘傑,110-1,32.70%,28.30%,38.99%,,,,,,,
國際關係二,廖小娟,109-2,30%,30%,40%,,,,,,,
國際關係二,郭銘傑,107-2,,,60.67%,11.33%,28%,,,,,
國際關係二,郭銘傑,108-2,32.57%,18.86%,48.57%,,,,,,,
基本權理論專題研究一,李建良 ,107-1,55.56%,44.44%,,,,,,,,
基因體統計方法導論,劉⼒瑜,109-2,23.53%,47.06%,29.41%,,,,,,,
基礎物理實驗,黃斯衍,108-1,7.69%,74.36%,17.95%,,,,,,,
基礎植物分子生物學,杜宜殷,108-1,,,,,,80.95%,9.52%,9.52%,,
婦女與性別研究導論,吳嘉苓,107-2,,53.77%,30.19%,16.04%,,,,,,
婦女與性別研究導論,吳嘉苓,108-2,17.36%,82.64%,,,,,,,,
密碼學,雷欽隆,108-1,41.07%,58.93%,,,,,,,,
密碼學,雷欽隆,110-1,32.50%,67.50%,,,,,,,,
密碼學導論,陳君明,109-2,39.02%,60.98%,,,,,,,,
專利法,李素華,108-2,,,75.44%,14.62%,9.94%,,,,,
專業實習一,林書妍,109-1,50%,25%,25%,,,,,,,
專題研究,朱有田,107-2,80%,20%,,,,,,,,
專題研究一,張宏浩,110-1,50%,50%,,,,,,,,
專題研究一,許 輔 (05),110-1,,33.33%,66.67%,0%,,,,,,
專題研究二,沈川洲,110-2,,100%,,,,,,,,
專題討論一,吳思節 (05),110-1,,100%,,,,,,,,
專題討論上,杜宜殷 ,109-1,15.38%,76.93%,76.93%,76.93%,7.79%,0%,,,,
專題討論上,張孟基,109-1,,43.59%,25.64%,30.77%,,,,,,
專題討論下,杜宜殷,109-2,0%,50%,33.33%,16.67%,,,,,,
專題討論下,朱有田,107-2,100%,,,,,,,,,
專題討論下,張孟基,109-2,13.16%,23.68%,63.16%,,,,,,,
常綠果樹及實習一,林書妍,109-1,7.41%,62.96%,29.63%,,,,,,,
強制執行法,許士宦,110-1,2.50%,15%,82.50%,,,,,,,
從高壓物理到地心之旅,謝文斌,109-2,40%,,,,,,,,,
排球初級,呂宛蓁,107-2,86.36%,13.64%,,,,,,,,
排演一上,姚坤君(01),109-1,,,,,80%,20%,,,,
排演一下,姚坤君(01),109-2,,,,78.95%,15.79%,5.26%,,,,
探索臺灣:臺灣電影與臺灣社會,郭任峯,110-1,,9.65%,81.58%,8.77%,,,,,,
族群生物學,張智涵,110-1,17.65%,82.35%,,,,,,,,
族群遺傳學,高振宏,109-2,50.00%,50.00%,,,,,,,,
深度學習與人類語言處理,李宏毅,108-2,87.76%,7.14%,5.10%,,,,,,,
現代中國與世界：1842-1911,王遠義,109-1,39.42%,60.58%,,,,,,,,
現代生物技術與健康,張明富        ,110-1,17.89%,31.65%,50.46%,,,,,,,
現代生物技術與健康,張明富,109-1,,70.95%,11.43%,17.62%,,,,,,
現代生物學之應用,朱家瑩,108-2,24.68%,75.32%,,,,,,,,
現代生物學之應用,朱家瑩,110-1,,70.93%,19.19%,9.88%,,,,,,
現代科技與人類文明,楊申語,108-1,,65.49%,16.20%,18.31%,,,,,,
現代科技與人類文明,楊申語,109-2,12.70%,38.10%,49.21%,,,,,,,
現代科學與心靈科學,歐陽彥正,107-2,,,72.66%,9.77%,17.58%,,,,,
現代農業體驗一,張育森,108-1,0%,80%,20%,,,,,,,
現代農業體驗二,李國譚,108-1,,,57.89%,21.05%,21.05%,,,,,
現代舞,蔡秀華 ,107-2,73.08%,26.92%,,,,,,,,
現代舞,李文心,108-2,60.61%,39.39%,,,,,,,,
產業經濟學,鄭秀玲 ,108-2,63.89%,36.11%,,,,,,,,
票據及支付工具法,邵慶平,108-2,,51.35%,35.14%,13.51%,,,,,,
票據及支付工具法,曾宛如,109-2,28.57%,71.43%,,,,,,,,
粒子天文物理導論,南智祐,108-1,42.86%,57.14%,,,,,,,,
細胞生物學,吳益群,108-2,,53.62%,20.29%,26.09%,,,,,,
荷蘭文一上,敖馨郁,110-1,42.86%,21.43%,35.71%,,,,,,,
莊子哲學,林明詔,107-2,,37.70%,27.87%,34.43%,,,,,,
蛋品加工學,王聖耀,107-2,33.33%,55.56%,11.11%,,,,,,,
蛋品加工學,王聖耀,109-2,33.33%,66.67%,,,,,,,,
貨幣銀行學一,李怡庭,110-1,,,,53.04%,9.57%,37.39%,,,,
貨幣銀行學一,謝德宗,108-1,,,,40.28%,15.28%,44.44%,,,,
貨幣銀行學一,陳南光,110-1,14.57%,18.54%,17.88%,11.92%,16.13%,16.13%,16.13%,5.96%,15%,
貨幣銀行學二,李怡庭,109-2,,,,,,73.87%,3.60%,22.52%,,
貨幣銀行學二,陳南光,109-2,,,,,84.13%,3.17%,12.70%,,,
貨幣銀行學甲,黃志典,110-1,33.33%,,,,,,,,,
軟網初級,莊泰源,108-1,46%,54%,,,,,,,,
軟體工程設計,李允中,109-1,,42.86%,54.76%,2.38%,,,,,,
造園學,鄭佳昆 ,106-2,10.61%,28.79%,60.61%,,,,,,,
野外地質學,王昱,110-2,,,,,,81.58%,10.53%,7.89%,,
野外地質學實習,徐澔德,110-2,,,,,89.19%,5.41%,5.41%,,,
斯多噶哲學,苑舉正,107-2,21.43%,78.57%,,,,,,,,
普生實甲下,李鳳鳴,108-2,,,57.14%,28.57%,14.29%,,,,,
普通化學一,金必耀,109-1,,,,,70%,6.67%,23.33%,,,
普通化學二,邱靜雯,109-2,,,29.51%,18.03%,52.46%,,,,,
普通化學丙,周必泰,110-1,25.50%,74.50%,,,,,,,,
普通化學丙,周必泰（04）,109-1,35.65%,64.35%,,,,,,,,
普通化學丙,陳浩銘 ,110-1,,,,13.22%,,,,,,
普通化學丙,邱靜雯 (01),106-2,6.20%,93.80%,,,,,,,,
普通化學實驗,佘瑞琳（吳美伶助教）,110-1,15.38%,84.62%,,,,,,,,
普通化學實驗,佘瑞琳（吳美伶）（06）,109-1,10%,90%,,,,,,,,
普通化學實驗,陳浩銘,108-1,,47.54%,24.59%,27.87%,,,,,,
普通化學實驗,牟中原 (04),106-2,6.82%,18.18%,75%,,,,,,,
普通心理學,徐永豐,107-2,,20.56%,18.69%,60.75%,,,,,,
普通心理學,葉俊毅,107-1,10.71%,13.57%,75.71%,,,,,,,
普通心理學,謝伯讓,108-2,72.39%,17.79%,9.82%,,,,,,,
普通心理學,陳品豪,110-1,18.40%,81.60%,,,,,,,,
普通心理學,葉俊毅,107-2,,40.76%,22.83%,36.41%,,,,,,
普通心理學,謝伯讓（03）,110-1,81.02%,18.98%,,,,,,,,
普通心理學,趙儀珊,110-1,37.76%,,,,,,,,,
普通心理學,曹峰銘 (05),106-1,35.27%,64.73%,,,,,,,,
普通心理學,陳品豪,109-1,27.85%,23.08%,49.07%,,,,,,,
普通心理學,張家源(01),110-2,32.17%,,,,,,,,,
普通生物學乙下,郭典翰（05）,109-2,12.90%,87.10%,,,,,,,,
普通生物學丙,施秀惠,109-1,,,,,56.72%,13.43%,29.85%,,,
普通生物學丙,李鳳鳴,108-2,,32.71%,22.43%,44.86%,,,,,,
普通生物學實驗丙,李鳳鳴（06）,109-2,44.74%,55.26%,,,,,,,,
普通生物學實驗甲上,李鳳鳴,108-1,,29.63%,44.44%,25.93%,,,,,,
普通物理學乙,董成淵（01）,110-1,52.48%,47.52%,,,,,,,,
普通物理學乙上,曾詣涵,108-1,,,,,,,,64.29%,27.38%,8.33%
普通物理學乙下,曾詣涵,108-2,,,,,,,,65.88%,22.35%,11.76%
普通物理學甲上,王立民,107-1,,21.15%,13.46%,65.38%,,,,,,
普通物理學甲上,傅昭銘,107-1,4.17%,18.75%,,,,,,,,
普通物理學甲上,呂榮祥,107-1,11.76%,15.69%,72.55%,,,,,,,
普通物理學甲上,呂榮祥,109-1,35.19%,64.81%,,,,,,,,
普通物理學甲上,王名儒(03),109-1,,50.65%,22.08%,27.27%,,,,,,
普通物理學甲上,林俊達,109-1,,54.39%,14.04%,31.58%,,,,,,
普通物理學甲下,熊怡,107-2,,,,,40.74%,11.11%,48.15%,,,
普通物理學甲下,呂榮祥,107-2,,16.42%,11.94%,71.64%,,,,,,
普通物理學甲下,呂榮祥,109-2,28.85%,71.15%,,,,,,,,
普通物理學甲下,王名儒(03),109-2,,,61.18%,14.12%,24.71%,,,,,
普通物理學甲下,林俊達,109-2,,24.59%,18.03%,57.38%,,,,,,
普通物理學實驗,石明豐（林芸伍）（03）,110-1,63.83%,36.17%,,,,,,,,
普通物理學實驗上,傅昭銘,107-1,,,31.82%,,,,,,,
普通物理學實驗上,許長仁(03),109-1,,34.55%,45.45%,20%,,,,,,
普通物理學實驗上,何小剛,108-1,42.22%,42.22%,15.56%,,,,,,,
普通物理學實驗下,許長仁(03),109-2,18.18%,34.55%,47.27%,,,,,,,
普通物理學實驗下,裴思達,108-2,9.52%,33.33%,57.14%,,,,,,,
普通動物學,于宏燦,108-2,5.61%,94.39%,,,,,,,,
普通植物學,陳香君 (01),106-1,,21.43%,19.84%,58.73%,,,,,,
普通植物學實驗,陳香君 (02),106-1,,15.38%,38.46%,46.15%,,,,,,
智慧財產權法導論,謝銘洋,107-2,,,,,,72.03%,11.02%,10.17%,0.85%,5.93%
暑期實習,王佩華,109-1,62.07%,37.93%,,,,,,,,
朝鮮王朝的建立與發展,姜智恩,107-1,,,,54.21%,9.35%,36.45%,,,,
朝鮮王朝的建立與發展,姜智恩,109-1,,,65.81%,9.40%,24.79%,,,,,
期貨與選擇權,張森林,109-1,,,,14.86%,10.81%,74.32%,,,,
期貨與選擇權,張森林,108-2,,,,,,,,,62.79%,37.21%
期貨與選擇權,洪志清,110-1,,36.36%,22.73%,40.91%,,,,,,
森林生物多樣性概論,丁宗蘇,108-1,25%,25%,50%,,,,,,,
植物分子生物學,杜宜殷,109-2,26.67%,40.00%,33.33%,,,,,,,
植物生理學,王雅筠,107-2,,,,53.42%,10.96%,35.62%,,,,
植物生理學,林盈仲,107-1,11.63%,16.28%,72.09%,,,,,,,
植物生理學實驗,林盈仲,107-1,,40.91%,27.27%,22.73%,9.09%,,,,,
植物保護學,陳昭瑩 ,107-1,3.39%,27.12%,27.12%,42.37%,,,,,,
植物病毒學與實驗,張雅君,108-2,,,26.67%,10%,63.33%,,,,,
植物病蟲害防治,洪挺軒,108-1,17.07%,82.93%,,,,,,,,
植物病蟲害防治實習,洪挺軒,108-1,14.71%,32.35%,52.94%,,,,,,,
植物演化發育實作,王俊能,109-2,33.33%,66.67%,,,,,,,,
植物繁殖,許富鈞,108-1,,30%,45%,25%,,,,,,
植物繁殖實習,許富鈞,108-1,,,,85.71%,9.52%,4.76%,,,,
游泳中級,林謙如,109-2,,,,,,,90.91%,4.55%,4.55%,
游泳中級,林謙如,108-2,58.82%,41.18%,,,,,,,,
游泳中級,林謙如,108-2,57.14%,42.86%,,,,,,,,
游泳初級,許君恆,109-1,70.73%,29.27%,,,,,,,,
游泳初級,許君恆,108-2,53.37%,46.43%,,,,,,,,
無脊椎動物學,郭典翰,109-2,,20.00%,6.67%,73.33%,,,,,,
無脊椎動物學實驗,郭典翰,109-2,13.33%,46.67%,40.00%,,,,,,,
發生生物學,黃火鍊,108-1,,,65.38%,3.85%,30.77%,,,,,
發育生物學,劉逸軒,108-2,2.33%,9.30%,13.95%,,,,,18.60%,13.95%,
發展心理學,趙儀珊,109-2,12.17%,25.22%,62.61%,,,,,,,
程式設計,黃俊郎,107-2,,,46.30%,12.96%,40.74%,,,,,
程式設計,孔令傑,108-1,36.97%,32.77%,,,,,,,,
程式設計,郭巧玲,107-2,22.73%,77.27%,,,,,,,,
程式設計,孔令傑,110-1,74.68%,,,,,,,,,
程式設計技巧,鄭卜壬,110-1,58.82%,41.18%,,,,,,,,
程式設計進階,黃乾綱,109-2,,38.36%,57.69%,3.85%,,,,,,
程式語言編輯器技術,王凡,108-2,10.53%,89.47%,,,,,,,,
策略營養與動物產品品牌行銷,林美峰,109-1,11.11%,88.89%,,,,,,,,
統計史導論,黃旻華,107-2,13.70%,86.30%,,,,,,,,
統計史導論,黃旻華,108-2,10.14%,39.19%,50.68%,,,,,,,
統計史導論,黃旻華,110-1,1.41%,27.46%,71.13%,,,,,,,
統計在地球科學的應用,博爾,110-2,30%,30%,40%,,,,,,,
統計學,林恩仲,107-1,30%,70%,,,,,,,,
統計學,陳虹諺 ,107-1,26.39%,40.28%,40.28%,40.28%,40.28%,5.56%,27.78%,,,
統計學一上,王衍智,107-1,,61.70%,9.57%,28.72%,,,,,,
統計學一上,游孝元,110-1,73.50%,,,,,,,,,
