"課程名稱",授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
"英文(附一小時英聽)一",陳逸軒,1111,29.63%,,,,,,,,,
"英文(附一小時英聽)一",葉德蘭,1111,,,59.38%,,,,,,,
"英文(附一小時英聽)一",沈曉茵,1111,,,,,13.33%,,,,,
"英文(附一小時英聽)一",陶漢威,1111,60%,,,,,,,,,
"英文(附一小時英聽)一",簡瑞碧,1111,18.75%,,,,,,,,,
"英文(附一小時英聽)一",黃允蔚,1111,4.55%,54.55%,,,,,,,,
"英文(附一小時英聽)一",簡瑞碧,1121,14.29%,61.22%,,,,,,,,
"英文（附一小時英聽）一",黃恆綜,1111,0%,76.92%,,,,,,,,
"英文(附一小時英聽)二",葉德蘭,1112,32.35%,29.41%,,,,,,,,
"英文(附一小時英聽)二",黃允蔚,1112,72.09%,,,,,,,,,
"英文(附一小時英聽)二",陳逸軒,1112,23.08%,,,,,,,,,
"英文(附一小時英聽)二",陳春燕,1112,,,50%,,,,,,,
"英文（附一小時英聽）二",黃恆綜,1112,6.90%,58.62%,,,,,,,,
"英文（附二小時英聽）一",吳雅鳳,1111,35.14%,21.62%,,,,,,,,
"英文(附二小時英聽)一",張嘉倩,1111,8.57%,54.29%,,,,,,,,
"英文(附二小時英聽)一	",胥嘉陵,1111,22.58%,,,,,,,,,
"英文(附二小時英聽)二",吳雅鳳,1112,,,22.86%,,,,,,,
"英文(附二小時英聽)二",張嘉倩,1112,11.76%,47.06%,,,,,,,,
"英文一",劉威辰,1111,44.44%,,,,,,,,,
"英文一",蔡秀枝,1111,28.07%,,,,,,,,,
"英文一",劉威辰,1111,44.44%,33.33%,,,,,,,,
"英文一",陽明蒼,1111,7.89%,23.68%,,,,,,,,
"英文一",傅友祥,1121,11.76%,,,,,,,,,
"英文二",楊明蒼,1112,8.33%,36.11%,,,,,,,,
"英文二",鄭暐凡,1112,37.14%,,,,,,,,,
"英文二",朱偉誠,1112,23.81%,38.10%,,,,,,,,
"英文二",蔡善妮,1112,23.33%,,,,,,,,,
"英文二",楊明蒼,1112,8.33%,36.11%,,,,,,,,
"英文口說與寫作訓練一",曾琦智,1111,,,93.33,6.67,,,,,,
"英文作文一上",郭貞秀,1111,83.33%,,,,,,,,,
"英文作文一下",施純宜,1112,7.69%,,,,,,,,,
"英文寫作入門",陳翊齊,1111,8.93%,28.57%,,,,,,,,
"英國史",林美香,1112,46.15%,19.23%,,,,,,,,
"英語口語訓練一上",陳逸軒,1111,,,12.50%,,,,,,,
"計量經濟",廖珮真,1111,26.42%,,,,,,,,,
"計量經濟學一",江淳芳,1111,,,22.22%,,,,,,,
"計量經濟學一",江淳芳,1111,,,,7.94%,,,,,,
"計量經濟學一",江淳芳,1111,,,22.22%,,,,,,,
"計量經濟學導論暨實習",駱明慶,1102,,78.87%,,,,,,,,
"計算機程式",諶玉真,1111,27.27%,,,,,,,,,
"計算機程式",林宗男,1111,47.06%,,,,,,,,,
"計算機程式",林以凡,1111,17.31%,,,,,,,,,
"計算機程式",林宗男,1111,47.06%,12.94%,,,,,,,,
"計算機程式",林以凡,1111,17.31%,,,,,,,,,
"計算機程式設計",劉邦鋒,1111,24%,76%,,,,,,,,
"計算機程式設計",張傑帆,1111,14.43%,,,,,,,,,
"計算機程式設計",黃俊郎,1112,31.71%,14.63%,,,,,,,,
"計算機程式設計",劉邦鋒,1121,50.91%,,,,,,,,,
"計算機程式設計實驗",林宗男,1111,56.47%,16.47%,,,,,,,,
"計算機結構",楊佳玲,1111,15%,7.50%,,,,,,,,
"計算機結構",劉智弘,1111,37.10%,,,,,,,,,
"計算機結構",劉智弘,1111,,,,8.06%,,,,,,
"計算機結構",楊佳玲,1111,,,,15%,,,,,,
"計算機結構",劉宗德,1121,18.98%,,,,,,,,,
"計算機概論",徐宏民,1111,14.46%,,,,,,,,,
"計算機概論",莊永裕,1121,38.14%,,,,,,,,,
"計算機概論與程式設計上",蕭惠心,1111,,,18.42%,,,,,,,
"計算機概論與程式設計下",黃乾綱,1111,,,,,,,,10.29%,,
"計算機網路",周承復,1111,79.01%,,,,,,,,,
"計算機應用及程式語言",蕭友晉,1111,,,20%,,,,,,,
"軌道工程",鍾志成,1122,10.94%,,,,,,,,,
"軌道運輸學",賴勇成,1121,45.24%,9.52%,14.29%,,,,,,,
"重量訓練",連家瑩,1122,,24.14%,41.38%,34.48%,,,,,,
"音樂、演化與大腦",蔡振家,1111,33.13%,27.61%,,,,,,,,
"音樂作品欣賞一",蔡世豪,1111,39.63%,,,,,,,,,
"風險管理與保險",曾郁仁,1111,18.75%,,,,,,,,,
"食用昆蟲學",薛馬坦,1112,55.06%,,,,,,,,,
"食用昆蟲學",薛馬坦,1122,61.45%,,,,,,,,,
"食品與健康",沈立言,1112,27.54%,26.69%,,,,,,,,
"個人通訊服務",林風,1111,36.67%,,,,,,,,,
"個體經濟理論一A",陳慶池,1111,55.26%,,,,,,,,,
"個體經濟理論一B",羅珮瑜,1111,10.81%,13.51%,,,,,,,,
"個體經濟學",宋玉生,1111,17.76%,43.93%,,,,,,,,
"個體經濟學上",蔡崇聖,1111,,20%,,,,,,,,
"個體經濟學上",古慧雯,1111,13.51%,6.76%,,,,,,,,
"個體經濟學上",駱明慶,1111,21.57%,17.65%,,,,,,,,
"個體經濟學上",古慧雯,1111,13.51%,86.49%,,,,,,,,
"個體經濟學下",古慧雯,1102,16.67%,,,,,,,,,
"個體經濟學原理",陳暐,1111,37.88%,,,,,,,,,
"個體經濟學原理",劉錦添,1111,,,22.08%,,,,,,,
"個體經濟學原理與實習",林明仁,1111,,,,,,,,4.41%,,
"個體經濟學原理與實習",樊家忠,1111,,16.67%,,,,,,,,
"個體經濟學原理與實習",林明仁,1111,15.25%,17.29%,,,,,,,,
"個體經濟學原理與實習",江淳芳,1111,16.96%,,,,,,,,,
"個體經濟學原理與實習",林明仁,1111,15.25%,84.75%,,,,,,,,
"個體經濟學原理與實習",樊家忠,1111,12.64%,16.67%,,,,,,,,
"原型實踐A",陳彥向,1111,75%,,,,,,,,,
"哲學概論",苑舉正,1112,50.57%,,,,,,,,,
"哲學概論",苑舉正,1122,21.88%,20.83%,,,,,,,,
"哲學與精神分析",羅名珍,1111,,,,,17.86%,,,,,
"哲學與精神分析",羅名珍,1111,10.71%,28.57%,,,,,,,,
"時頻分析和小波轉換",丁建均,1121,81.01%,,,,,,,,,
"框架外的思考：5分鐘英文講台",李維晏,1112,23.08%,,,,,,,,,
"框架外的思考:五分鐘英文講台",李維宴,1110,,,,11.76%,0%,0%,0%,0%,0%,0%
"桌球初級",陳逸杰,1111,91.23%,8.77%,,,,,,,,
"桌球初級",陳逸杰,1111,85.71%,,,,,,,,,
"桌球初級",林信甫,1111,32.65%,67.35%,,,,,,,,
"桌球初級",王翊澤,1111,91.38%,,,,,,,,,
"桌球初級",陳逸杰,1102,94.64%,,,,,,,,,
"桌球初級",陳逸杰,1112,93.10%,,,,,,,,,
"桌球初級",魏均珩,1111,86.49%,,,,,,,,,
"桌球初級",陳逸杰,1112,93.10%,,,,,,,,,
"桌球初級",呂宛蓁,1112,78.43%,,,,,,,,,
"桌球初級",呂宛蓁,1112,83.93%,,,,,,,,,
"桌球初級",王翊澤,1112,83.33%,,,,,,,,,
"泰文一上",張君松,1111,83.33%,,,,,,,,,
"泰文一上",張君松,1111,67.86%,,,,,,,,,
"海洋地質概論",賀詩琳,1111,8.70%,,,,,,,,,
"海洋地質概論",張日新,1112,14.29%,,,,,,,,,
"海洋物理學",陳世楠,1111,11.76%,,,,,,,,,
"海洋科學概論",楊穎堅,1111,26.26%,,,,,,,,,
"海洋科學概論",楊穎堅,1111,55.84%,,,,,,,,,
"海洋科學概論",楊穎堅,1111,44.16%,,,,,,,,,
"海洋科學概論",楊穎堅,1112,43.89%,,,,,,,,,
"海洋與氣候:過去到未來",賀詩琳,1111,25%,,,,,,,,,
"海峽兩岸關係史",李君山,1112,22.48%,,,,,,,,,
"海峽兩岸關係史一",李君山,1111,19.71%,13.14%,,,,,,,,
"海峽兩岸關係史一",李君山,1111,,,15.79%,,,,,,,
"海峽兩岸關係史一",李君山,1121,28.48%,,,,,,,,,
"海峽兩岸關係史二",李君山,1112,,,14.29%,,,,,,,
"海峽兩岸關係史二",李君山,1122,26.99%,16.56%,,,,,,,,
"疼痛. 健康. 幸福感",陳慧玲,1122,90.65%,,,,,,,,,
"病理、藥理小組討論上",無,1111,14.47%,,,,,,,,,
"病理、藥理小組討論下",無,1112,14.48%,64.83%,,,,,,,,
"病理學甲及實驗上",鄭永銘,1111,38.19%,,,,,,,,,
"病理學甲及實驗下",鄭永銘,1112,24.66%,27.40%,,,,,,,,
"病媒管制",蔡坤憲,1111,47.37%,,,,,,,,,
"益生菌研究與應用",陳立涵,1111,25%,75%,,,,,,,,
"神經生物學(一)",潘建源,1111,,,,6.78%,,,,,,
"脊椎動物比較解剖學",吳高逸,1111,,,,,,,,,,17.50%
"訊息設計與視覺傳達",林廷宜,1111,,,,18.75%,,,,,,
"財政學",李顯峰,1102,,,21.74%,,,,,,,
"財政學",李顯峰,1112,15.38%,84.62%,,,,,,,,
"財務金融入門",陳明賢,1111,73.60%,,,,,,,,,
"財務金融入門",陳明賢,1111,73.60%,,,,,,,,,
"財務會計理論",葉疏,1111,28.57%,,,,,,,,,
"財務演算法",呂育道,1102,58.97%,,,,,,,,,
"財務演算法",呂育道,1112,44.19%,,,,,,,,,
"財務管理",邱顯比,1111,,,,10.77%,,,,,,
"財務管理",邱顯比,1111,26.15%,13.85%,,,,,,,,
"財務管理",莊文議,1111,61.11%,,,,,,,,,
"財務管理",蕭湛東,1121,35.96%,,,,,,,,,
"財務管理",邱顯比,1121,,,,,,4.71%,,,,
"財務模型程式應用",姜堯民,1111,19.05%,26.98%,,,,,,,,
"迴歸分析",丘政民,1111,3.57%,,,,,,,,,
"高等演算法",陳和麟,1112,,,23.94%,,,,,,,
"高爾夫初級",周德賢,1112,50%,42.86%,,,,,,,,
"健康體適能",吳明翰,1111,86.05%,,,,,,,,,
"健康體適能",蘇玫尹,1111,76.47%,,,,,,,,,
"健康體適能",施登堯,1111,21.15%,38.46%,,,,,,,,
"健康體適能",呂碧琴,1111,17.07%,,,,,,,,,
"健康體適能",許君恆,1111,33.33%,,,,,,,,,
"健康體適能",林子文,1111,100%,,,,,,,,,
"健康體適能",周德賢,1111,50%,50%,,,,,,,,
"健康體適能",王翊澤,1111,82.35%,,,,,,,,,
"健康體適能",李文心,1111,65.96%,,,,,,,,,
"健康體適能",洪巧菱,1111,97.78%,,,,,,,,,
"健康體適能",李文心,1111,70.97%,,,,,,,,,
"健康體適能",王翊澤,1111,85.71%,,,,,,,,,
"健康體適能",逄廣華,1111,49.18%,,,,,,,,,
"健康體適能",李永祥,1111,86.54%,,,,,,,,,
"健康體適能",楊裕隆,1111,,,57.63%,,,,,,,
"健康體適能",林聯喜,1111,31.82%,,,,,,,,,
"健康體適能",林聯喜,1111,37.93%,53.45%,,,,,,,,
"健康體適能",蔡秀華,1111,44.23%,,,,,,,,,
"健康體適能",吳明漢,1111,86.05%,,,,,,,,,
"健康體適能",呂祐華,1111,55.93%,22.03%,,,,,,,,
"健康體適能",莊國禎,1111,,,15.79%,,,,,,,
"健康體適能",洪巧菱,1111,96.49%,,,,,,,,,
"健康體適能",王學富,1111,63.16%,,,,,,,,,
"健康體適能",李文心,1111,65.96%,,,,,,,,,
"健康體適能",呂宛蓁,1111,41.38%,,,,,,,,,
"健康體適能",林威名,1121,89.13%,,,,,,,,,
"健康體適能",林謙如,1121,46.30%,,,,,,,,,
"健康體適能",許君恆,1111,50%,,,,,,,,,
"健康體適能",呂祐華,1121,93.10%,,,,,,,,,
"健康體適能	",陳逸杰,1111,80.30%,,,,,,,,,
"動物生理學",閔明源,1111,,,,,,,,,,29.41%
"動物營養學實習",王翰聰,1111,,,21.21%,,,,,,,
"區塊鏈與數據分析",廖世偉,1111,86.89%,,,,,,,,,
"參考資訊服務",林奇秀,1112,31.67%,,,,,,,,,
"參考資源",張郁蔚,1111,,,43.06%,,,,,,,
"商事法",吳盈德,1112,31.71%,68.29%,,,,,,,,
"商事法總論及公司法",邵慶平,1111,15.62%,,,,,,,,,
"商事法總論及公司法",楊岳平,1112,39.57%,,,,,,,,,
"商事法總論與公司法",楊岳平,1102,,61.03%,,,,,,,,
"商業應用軟體",王春笙,1111,86.44%,,,,,,,,,
"商管程式設計",孔令傑,1112,64.31%,,,,,,,,,
"國民法官必備之基礎鑑識科學",翁德怡,1111,76.47%,,,,,,,,,
"國民法官必備之基礎鑑識科學",翁德怡,1112,64.62%,,,,,,,,,
"國會與憲政民主",劉有恒,1112,38.40%,,,,,,,,,
"國際公法",黃昭元,1111,7.69%,14.29%,,,,,,,,
"國際公法一",蔡季廷,1111,,,,,,,,6.02%,,
"國際公法二",蔡季廷,1112,,,22.22%,,,,,,,
"國際金融",陳旭昇,1112,43.24%,18.92%,,,,,,,,
"國際金融：理論、歷史、計量",何泰寬,1102,,,,42.86%,,,,,,
"國際政治理論一",唐欣偉,1101,,63.25%,,,,,,,,
"國際政治經濟學",左正東,1111,91.84%,,,,,,,,,
"國際經濟與貿易議題",蘇翊豪,1101,,42.31%,,,,,,,,
"國際學伴之服務學習",吳俊輝,1111,31.03%,,,,,,,,,
"國際學伴之服務學習",吳俊輝,1112,67.12%,,,,,,,,,
"國際關係一",張登及,1111,,,38.89%,,,,,,,
"國際關係一",郭銘傑,1111,36.12%,25.86%,,,,,,,,
"國際關係一",廖小娟,1111,17.72%,31.65%,,,,,,,,
"國際關係一",郭銘傑,1111,36.12%,,,,,,,,,
"國際關係二",郭銘傑,1112,,,20.31%,,,,,,,
"國際關係二",郭銘傑,1112,46.35%,,,,,,,,,
"國際關係概論",唐豪駿,1111,11.48%,34.43%,,,,,,,,
"國學導讀上",彭美玲,1111,8.82%,,,,,,,,,
"基礎法學導論",顏厥安,1112,21.82%,,,,,,,,,
"婦女與性別研究導論",江芝華,1112,26.47%,,,,,,,,,
"密碼學導論",陳君明,1112,26.09%,,,,,,,,,
"專利法",李素華,1112,16.99%,12.42%,,,,,,,,
"專題研究上",張芳嘉,1111,83.33%,,,,,,,,,
"常微分方程導論",林太家,1111,,5.66%,,,,,,,,
"排球中級",胡林煥,1112,37.50%,37.50%,,,,,,,,
"教育社會學",符碧真,1121,12%,44%,,,,,,,,
"教育經濟學",駱明慶,1122,18.18%,54.55%,,,,,,,,
"深度學習之應用",陳縕儂,1111,61.76%,,,,,,,,,
"深度學習於電腦視覺", 王鈺強,1111,47.62%,,,,,,,,,
"深度學習與人類語言處理",李宏毅,1121,82.61%,,,,,,,,,
"清代臺灣開發史",李文良,1122,10.34%,,,,,,,,,
"現代中國與世界：1842-1911",王遠義,1111,25.19%,,,,,,,,,
"現代中國與世界：1911-1979",王遠義,1112,,,28.08%,,,,,,,
"現代生物技術與健康",詹迺立,1111,,,26.90%,,,,,,,
"現代生物技術與健康	",張明富等,1111,15.74%,,,,,,,,,
"現代生物學之應用",朱家瑩,1111,16.55%,45.52%,,,,,,,,
"現代政治思想一",陳思賢,1111,18.89%,,,,,,,,,
"現代科技與人類文明",楊申語,1111,,,45.24%,,,,,,,
"現代科學與心靈科學",歐陽彥正,1111,35.58%,29.45%,,,,,,,,
"現代科學與心靈科學",歐陽彥正,1102,,,24.55%,,,,,,,
"現代科學與心靈科學",歐陽彥正,1112,65.03%,,,,,,,,,
"現代農業體驗一",劉力瑜,1111,9.52%,76.19%,,,,,,,,
"現代農業體驗二",顏炳郎,1111,0%,50%,,,,,,,,
"視覺化與現代資料科學",郭耀仁,1112,84.95%,,,,,,,,,
"組織運作導論",瞿志豪,1112,76.62,,,,,,,,,
"荷蘭文一下",敖馨郁,1102,,,,16.67%,,,,,,
"莊子甲上",徐聖心,1111,40%,16%,,,,,,,,
"貨幣銀行學一",陳南光,1111,16.30%,24.44%,,,,,,,,
"貨幣銀行學一",陳南光,1111,,,14.81%,,,,,,,
"貨幣銀行學甲",楊雅惠,1111,13.41%,26.83%,,,,,,,,
"貨幣銀行學甲",高一誠,1121,70.43%,,,,,,,,,
"貨幣銀行學甲",黃志典,1121,13.64%,,,,,,,,,
"軟網初級",莊泰源,1111,1.89%,84.91%,,,,,,,,
"都市人類學",呂欣怡,1111,17.78%,,,,,,,,,
"最佳化演算法",李彥寰,1112,20%,,,,,,,,,
"創意數位影像",許逸弘,1112,100%,,,,,,,,,
"媒介概論",許詩嫻,1112,28.74%,,,,,,,,,
"普通化學丙",周必泰,1111,12.99%,,,,,,,,,
"普通化學丙",周必泰,1111,,,,,,6.49%,,,,
"普通化學丙",姜昌明,1111,49.15%,,,,,,,,,
"普通化學丙",周必泰,1111,,,,,,,,,15.58%,5.84%
"普通化學丙",佘瑞琳,1112,19.27%,16.51%,,,,,,,,
"普通化學丙",邱靜雯,1121,10.36%,6.74%,,,,,,,,
"普通化學丙",邱靜雯,1121,,,18.13%,,,,,,,
"普通化學甲上",林至闓,1111,24.07%,18.52%,,,,,,,,
"普通化學甲上",李弘文,1111,20.41%,,,,,,,,,
"普通化學甲上",蔡蘊明,1101,2.63%,6.14%,,,,,,,,
"普通化學實驗",姜昌明,1111,18.18%,81.82%,,,,,,,,
"普通化學實驗",佘瑞琳（助教：劉彥成）,1111,7.46%,,,,,,,,,
"普通化學實驗",佘瑞琳（助教：劉彥成）,1111,4.62%,24.62%,,,,,,,,
"普通化學實驗",彭之皓,1111,7.79%,,,,,,,,,
"普通化學實驗",林至闓,1111,10.81%,27.03%,,,,,,,,
"普通化學實驗",佘瑞琳,1111,7.46%,26.87%,,,,,,,,
"普通化學實驗",林至闓,1121,9.84%,22.95%,,,,,,,,
"普通化學實驗上",林至闓,1111,10.17%,42.37%,,,,,,,,
"普通天文學",藍鼎文,1122,34.74%,,,,,,,,,
"普通心理學",羅達中,1111,,,,,6.02%,,,,,
"普通心理學",鄧善娟,1111,56.07%,,,,,,,,,
"普通心理學",陳品豪,1111,37.04%,,,,,,,,,
"普通心理學",周泰立,1111,,,,,,,8.76%,,,
"普通心理學",周珮雯,1111,59.06%,,,,,,,,,
"普通心理學",羅達中,1111,45.78%,,,,,,,,,
"普通心理學",葉俊毅,1111,,,17.61%,,,,,,,
"普通心理學",葉俊毅,1111,33.52%,,,,,,,,,
"普通心理學",陳品豪,1111,37.04%,,,,,,,,,
"普通心理學",周珮雯,1111,47.30%,28.38%,,,,,,,,
"普通心理學",周泰立,1111,9.49%,,,,,,,,,
"普通心理學",周珮雯,1111,59.06%,,,,,,,,,
"普通心理學",裴如淳,1112,29.88%,,,,,,,,,
"普通心理學",鄧善娟,1112,39.29%,,,,,,,,,
"普通心理學",裴如淳,1112,29.88%,,,,,,,,,
"普通心理學",周泰立,1111,,,,,12.41%,,,,,
"普通心理學",周珮雯,1112,79.11%,,,,,,,,,
"普通心理學",周泰立,1111,9.49%,13.87%,,,,,,,,
"普通心理學",周珮雯,1122,73.86%,,,,,,,,,
"普通心理學",周珮雯,1121,63.23%,,,,,,,,,
"普通心理學",鄧善娟,1122,48.92%,,,,,,,,,
"普通生物學乙",閔明源,1111,7.89%,13.16%,,,,,,,,
"普通生物學乙上",朱家瑩,1111,44.26%,18.85%,,,,,,,,
"普通生物學乙下",郭典翰,1112,,,,5.97%,,,,,,
"普通生物學實驗丙",閔明源,1111,11.43%,,,,,,,,,
"普通生物學實驗丙",郭典翰,1112,,,28.57%,,,,,,,
"普通物理學乙",董成淵,1111,,,7.81%,,,,,,,
"普通物理學乙",梁國淦,1112,37.50%,,,,,,,,,
"普通物理學乙",邱雅萍,1122,47.37%,,,,,,,,,
"普通物理學乙	",謝馬利歐,1111,16.67%,,,,,,,,,
"普通物理學甲上",陳銘堯,1111,,,8.93%,,,,,,,
"普通物理學甲上",楊超強,1111,,,,,,,6%,,,
"普通物理學甲上",邱雅萍,1111,16.97%,20.61%,,,,,,,,
"普通物理學甲上",王立民,1111,30.43%,,,,,,,,,
"普通物理學甲上",石明豐,1111,27.10%,14.84%,,,,,,,,
"普通物理學甲上",賀培銘,1101,,,,16.39%,,,,,,
"普通物理學甲上",胡德邦,1111,33.77%,,,,,,,,,
"普通物理學甲上",梁國淦,1121,63.89%,,,,,,,,,
"普通物理學甲下",石明豐,1112,12.60%,,,,,,,,,
"普通物理學甲下",胡德邦,1112,,,16.44%,,,,,,,
"普通物理學甲下",梁國淦,1122,41.33%,,,,,,,,,
"普通物理學實驗",郭光宇,1111,45.45%,,,,,,,,,
"普通物理學實驗一",陳銘堯,1111,,,,,7.55%,,,,,
"普通物理學實驗一",張寶棣,1111,55.56%,,,,,,,,,
"普通物理學實驗一",許長仁,1111,20%,36.36%,,,,,,,,
"普通物理學實驗一",許長仁,1121,83.33,,,,,,,,,
"景觀學",陳惠美,1112,15.38%,30.77%,,,,,,,,
"智慧型汽車導論",林忠緯,1111,37.08%,,,,,,,,,
"智慧型汽車導論",林忠緯,1111,62.92%,,,,,,,,,
"智慧財產權法導論",李素華,1111,18.78%,,,,,,,,,
"智慧財產權法導論",李素華,1111,43.75%,,,,,,,,,
"智慧醫療程式設計",陳尚澤,1111,45.83%,,,,,,,,,
"暑期野外地質",羅立,1111,,,,,20%,,,,,
"暑期實習",王翰聰,1111,,,18.42%,,,,,,,
"朝鮮王朝的建立與發展",姜智恩,1111,12.98%,,,,,,,,,
"朝鮮王朝的建立與發展",姜智恩,1111,,,14.50%,,,,,,,
"朝鮮王朝的建立與發展",姜智恩,1111,,,,9.16%,,,,,,
"朝鮮王朝的建立與發展",姜智恩,1111,,,14.50%,,,,,,,
"期貨與選擇權",洪志清,1111,29.89%,,,,,,,,,
"棒球中級",呂祐華,1112,95.65,,,,,,,,,
"棒球初級",康正男,1121,,,26.19%,,,,,,,
"森林生物多樣性概論",丁宗蘇,1111,,,17.65%,,,,,,,
"森林生物多樣性概論",合授,1121,,,11.90%,,,,,,,
"森林碳匯與碳權交易",邱祈榮,1111,14.29%,28.57%,57.14%,,,,,,,
"森林醫學點線面",蘇大成,1111,82.91%,,,,,,,,,
"森林醫學點線面",蘇大成,1112,77.54%,,,,,,,,,
"測量實習",趙鍵哲,1111,27.78%,19.44%,,,,,,,,
"測量學一",趙鍵哲,1111,12.82%,,,,,,,,,
"游泳初級",林謙如,1111,55.81%,,,,,,,,,
"游泳初級",吳明翰,1112,93.18%,,,,,,,,,
"無機化學一",彭之皓,1111,,,,,6.85%,,,,,
"猶太文化",曾宗盛,1112,58.93%,,,,,,,,,
"程式設計",何承遠,1111,50.51%,29.29%,,,,,,,,
"程式設計",孔令傑,1111,54.84%,,,,,,,,,
"程式設計與資料分析",郭耀仁,1121,86.57%,,,,,,,,,
"程式與科學計算",陳維婷,1111,,,23.40%,,,,,,,
"給每個人的演化生物學",王弘毅,1121,51.64%,36.07%,,,,,,,,
"統計理論一",楊鈞澔,1111,55%,,,,,,,,,
"統計理論一",楊鈞澔,1111,30.77%,23.08%,,,,,,,,
"統計學",鄭克聲,1111,20%,60%,,,,,,,,
"統計學一上",王衍智,1111,,,17.65%,,,,,,,
"統計學一上",陳郁蕙,1111,25.58%,19.38%,,,,,,,,
"統計學一上",周建亨,1121,45.42%,,,,,,,,,
"統計學一下",陳郁蕙,1112,21.97%,,,,,,,,,
"統計學一下",游孝元,1112,31.93%,,,,,,,,,
"統計學習與深度學習",盧信銘,1121,,,19.35%,,,,,,,
"統計學暨實習",陳旭昇,1101,,,,,,,16.22%,,,
"統計學暨實習",楊睿中,1111,33.05%,,,,,,,,,
"統計學暨實習",陳旭昇,1111,16.47%,,,,,,,,,
"統計學暨實習",楊睿中,1111,,44.92%,16.95%,38.14%,,,,,,
"統計學暨實習",楊睿中,1111,33.05%,,,,,,,,,
"虛擬儀控之設計與應用",吳文中,1112,30.95%,35.71%,,,,,,,,
"詞選及習作上",李文鈺,1111,19.30%,,,,,,,,,
"貿易理論",朴至鎬,1111,,,,50.79%,,,,,,
"貿易理論",朴至鎬,1111,,,,14.29%,,,,,,
"跆拳道初級",陳君鳳,1111,27.78%,33.33%,,,,,,,,
"跆拳道初級",吳明翰,1111,98.04%,,,,,,,,,
"跆拳道初級",陳君鳳,1111,14.81%,64.81%,,,,,,,,
"跆拳道初級",陳君鳳,1112,60%,,,,,,,,,
"進階社會統計",林孟容,1112,53.95%,,,,,,,,,
"進階領導專題(一)",楊正大,1112,75,,,,,,,,,
"量子力學二",陳政維,1112,,,,44.58%,,,,,,
"量子光學導論",王喬萱,1112,25%,32.14%,,,,,,,,
"量子演算法",呂學一,1111,58.73%,,,,,,,,,
"雲物理學",陳正平,1111,,,,,,,15.91%,,,
"傳播學",許詩嫺,1111,22.03%,,,,,,,,,
"園產品加工學",許輔,1112,,,15.71%,,,,,,,
"微波系統導論",盧信嘉,1121,20.93%,,,,,,,,,
"微積分1",蔡國榮,1111,,,9.48%,,,,,,,
"微積分1",陳延安,1111,6.59%,,,,,,,,,
"微積分1",吳侊儒,1111,17.65%,,,8.09%,,,,,,
"微積分1",蔡雅如,1111,,,20%,,,,,,,
"微積分1",黃秀戀,1111,36.43%,,,,,,,,,
"微積分1",蔡國榮,1111,34.48%,18.10%,,,,,,,,
"微積分1",傅斯緯,1111,31.88%,,,,,,,,,
"微積分1",蔡雅如,1111,45.25%,,,,,,,,,
"微積分1",蔡國榮,1111,30.52%,,,,,,,,,
"微積分1",蔡雅如,1111,25.16%,,,,,,,,,
"微積分1",蔡雅如,1101,6.19%,16.81%,,,,,,,,
"微積分1",蔡雅如,1111,54.75%,,,,,,,,,
"微積分1",蔡國榮,1111,34.48%,18.10%,,,,,,,,
"微積分1",蔡國榮,1111,43.57%,,,,,,,,,
"微積分1",傅斯緯,1111,28.57%,15.04%,,,,,,,,
"微積分1",蔡國榮,1121,32.79%,,,,,,,,,
"微積分1",蔡國榮,1111,30.52%,,,,,,,,,
"微積分1",彭俊文,1121,19.08%,,,,,,,,,
"微積分2",蔡雅如,1111,,,,6.09%,,,,,,
"微積分2",蔡國榮,1111,,,,,,7.83%,,,,
"微積分2",陳延安,1111,4.60%,,,,,,,,,
"微積分2",吳侊儒,1111,26.32%,,,,,,,,,
"微積分2",黃秀戀,1111,37.68%,,,,,,,,,
"微積分2",蔡國榮,1111,24.35%,10.43%,,,,,,,,
"微積分2",傅斯緯,1111,32.31%,,,,,,,,,
"微積分2",蔡雅如,1111,34.07%,,,,,,,,,
"微積分2",蔡國榮,1111,43.14%,,,,,,,,,
"微積分2",蔡雅如,1111,15.43%,14.20%,,,,,,,,
"微積分2",蔡雅如,1111,65.93%,,,,,,,,,
"微積分2",蔡國榮,1111,24.35%,,,,,,,,,
"微積分2",蔡國榮,1111,50.70%,,,,,,,,,
"微積分2",傅斯緯,1111,44.72%,,,,,,,,,
"微積分2",蔡國榮,1121,17.07%,15.45%,,,,,,,,
"微積分2",蔡國榮,1111,43.14%,,,,,,,,,
"微積分2",彭俊文,1121,19.48%,,,,,,,,,
"微積分3",傅斯緯,1112,22.86%,,,,,,,,,
"微積分3",蔡雅如,1112,11.71%,,,,,,,,,
"微積分3",黃秀戀,1112,21.54%,,,,,,,,,
"微積分3",彭俊文,1112,50%,,,,,,,,,
"微積分3",吳侊儒,1112,16.33%,,,,,,,,,
"微積分3",蔡國榮,1112,60.14%,,,,,,,,,
"微積分3",蔡雅如,1112,16.03%,,,,,,,,,
"微積分3",蔡雅如,1112,,,,,,,,,3.21,20.51
"微積分3",蔡國榮,1112,56.59%,,,,,,,,,
"微積分3",蔡國榮,1112,43.41%,,,,,,,,,
"微積分3",蔡國榮,1112,43.76%,,,,,,,,,
"微積分3",蔡國榮,1112,50.39%,14.17%,,,,,,,,
"微積分3",蔡國榮,1112,60.14%,,,,,,,,,
